user_id,recommended_learning_path
587.0,learning_path_id_10
626.0,learning_path_id_10
642.0,learning_path_id_10
654.0,learning_path_id_10
662.0,learning_path_id_10
695.0,learning_path_id_10
696.0,learning_path_id_10
742.0,learning_path_id_10
744.0,learning_path_id_10
757.0,learning_path_id_10
787.0,learning_path_id_10
799.0,learning_path_id_10
864.0,learning_path_id_10
877.0,learning_path_id_10
906.0,learning_path_id_10
919.0,learning_path_id_10
943.0,learning_path_id_10
945.0,learning_path_id_10
948.0,learning_path_id_10
952.0,learning_path_id_10
963.0,learning_path_id_10
965.0,learning_path_id_10
983.0,learning_path_id_10
27.0,learning_path_id_7
33.0,learning_path_id_7
69.0,learning_path_id_7
77.0,learning_path_id_7
87.0,learning_path_id_7
89.0,learning_path_id_7
100.0,learning_path_id_7
121.0,learning_path_id_7
143.0,learning_path_id_7
149.0,learning_path_id_7
150.0,learning_path_id_7
190.0,learning_path_id_7
238.0,learning_path_id_7
279.0,learning_path_id_7
299.0,learning_path_id_7
332.0,learning_path_id_7
363.0,learning_path_id_7
418.0,learning_path_id_7
419.0,learning_path_id_7
515.0,learning_path_id_7
529.0,learning_path_id_7
538.0,learning_path_id_7
546.0,learning_path_id_7
583.0,learning_path_id_7
597.0,learning_path_id_7
625.0,learning_path_id_7
630.0,learning_path_id_7
644.0,learning_path_id_7
670.0,learning_path_id_7
713.0,learning_path_id_7
718.0,learning_path_id_7
733.0,learning_path_id_7
767.0,learning_path_id_7
786.0,learning_path_id_7
822.0,learning_path_id_7
827.0,learning_path_id_7
832.0,learning_path_id_7
869.0,learning_path_id_7
873.0,learning_path_id_7
878.0,learning_path_id_7
884.0,learning_path_id_7
886.0,learning_path_id_7
902.0,learning_path_id_7
905.0,learning_path_id_7
936.0,learning_path_id_7
957.0,learning_path_id_7
961.0,learning_path_id_7
975.0,learning_path_id_7
991.0,learning_path_id_7
32.0,learning_path_id_20
37.0,learning_path_id_20
47.0,learning_path_id_20
52.0,learning_path_id_20
62.0,learning_path_id_20
67.0,learning_path_id_20
88.0,learning_path_id_20
96.0,learning_path_id_20
125.0,learning_path_id_20
163.0,learning_path_id_20
185.0,learning_path_id_20
194.0,learning_path_id_20
199.0,learning_path_id_20
222.0,learning_path_id_20
278.0,learning_path_id_20
309.0,learning_path_id_20
328.0,learning_path_id_20
336.0,learning_path_id_20
353.0,learning_path_id_20
377.0,learning_path_id_20
407.0,learning_path_id_20
410.0,learning_path_id_20
412.0,learning_path_id_20
437.0,learning_path_id_20
455.0,learning_path_id_20
475.0,learning_path_id_20
558.0,learning_path_id_20
565.0,learning_path_id_20
572.0,learning_path_id_20
604.0,learning_path_id_20
622.0,learning_path_id_20
646.0,learning_path_id_20
671.0,learning_path_id_20
723.0,learning_path_id_20
735.0,learning_path_id_20
738.0,learning_path_id_20
749.0,learning_path_id_20
756.0,learning_path_id_20
764.0,learning_path_id_20
778.0,learning_path_id_20
804.0,learning_path_id_20
806.0,learning_path_id_20
811.0,learning_path_id_20
831.0,learning_path_id_20
834.0,learning_path_id_20
837.0,learning_path_id_20
842.0,learning_path_id_20
858.0,learning_path_id_20
892.0,learning_path_id_20
898.0,learning_path_id_20
934.0,learning_path_id_20
935.0,learning_path_id_20
972.0,learning_path_id_20
977.0,learning_path_id_20
35.0,learning_path_id_7
38.0,learning_path_id_7
42.0,learning_path_id_7
46.0,learning_path_id_7
70.0,learning_path_id_7
86.0,learning_path_id_7
97.0,learning_path_id_7
106.0,learning_path_id_7
115.0,learning_path_id_7
132.0,learning_path_id_7
148.0,learning_path_id_7
203.0,learning_path_id_7
207.0,learning_path_id_7
216.0,learning_path_id_7
231.0,learning_path_id_7
265.0,learning_path_id_7
270.0,learning_path_id_7
271.0,learning_path_id_7
273.0,learning_path_id_7
339.0,learning_path_id_7
349.0,learning_path_id_7
367.0,learning_path_id_7
393.0,learning_path_id_7
417.0,learning_path_id_7
458.0,learning_path_id_7
464.0,learning_path_id_7
479.0,learning_path_id_7
492.0,learning_path_id_7
508.0,learning_path_id_7
522.0,learning_path_id_7
531.0,learning_path_id_7
543.0,learning_path_id_7
548.0,learning_path_id_7
578.0,learning_path_id_7
580.0,learning_path_id_7
593.0,learning_path_id_7
605.0,learning_path_id_7
607.0,learning_path_id_7
634.0,learning_path_id_7
637.0,learning_path_id_7
652.0,learning_path_id_7
655.0,learning_path_id_7
661.0,learning_path_id_7
669.0,learning_path_id_7
686.0,learning_path_id_7
697.0,learning_path_id_7
703.0,learning_path_id_7
743.0,learning_path_id_7
868.0,learning_path_id_7
913.0,learning_path_id_7
927.0,learning_path_id_7
974.0,learning_path_id_7
979.0,learning_path_id_7
989.0,learning_path_id_7
36.0,learning_path_id_4
58.0,learning_path_id_4
92.0,learning_path_id_4
118.0,learning_path_id_4
144.0,learning_path_id_4
156.0,learning_path_id_4
228.0,learning_path_id_4
303.0,learning_path_id_4
312.0,learning_path_id_4
318.0,learning_path_id_4
342.0,learning_path_id_4
347.0,learning_path_id_4
368.0,learning_path_id_4
383.0,learning_path_id_4
395.0,learning_path_id_4
426.0,learning_path_id_4
433.0,learning_path_id_4
450.0,learning_path_id_4
470.0,learning_path_id_4
478.0,learning_path_id_4
540.0,learning_path_id_4
569.0,learning_path_id_4
577.0,learning_path_id_4
621.0,learning_path_id_4
632.0,learning_path_id_4
638.0,learning_path_id_4
643.0,learning_path_id_4
647.0,learning_path_id_4
657.0,learning_path_id_4
692.0,learning_path_id_4
698.0,learning_path_id_4
705.0,learning_path_id_4
707.0,learning_path_id_4
727.0,learning_path_id_4
